27/11/2020,03:19:51.92,0.09,31.334,0.25,130.617,0.2,11.8,1.5,0.4v,SATSUMA PENINSULA REGI,ON  k
27/11/2020,03:21:12.29,0.07,36.295,0.37,136.682,0.23,6.6,1.1,0.5v,ISHIKAWA PREF  A,
27/11/2020,03:22:29.12,0.13,34.124,0.26,135.199,0.35,5.4,1.6,-0.1v,NW WAKAYAMA PREF  k,
27/11/2020,03:24:16.36,0.07,37.913,0.2,141.873,0.29,23.4,1.2,1.0V,SE OFF MIYAGI PREF  k,
27/11/2020,03:26:30.18,0.11,37.431,0.32,141.899,0.41,39.3,1.3,1.6V,E OFF FUKUSHIMA PREF,A
27/11/2020,03:26:30.96,0.06,36.126,0.16,138.054,0.24,11.3,0.8,1.1V,CENTRAL NAGANO PREF  A,
27/11/2020,03:39:08.19,0.1,36.138,0.31,141.916,0.18,9.8,1.4,1.3v,FAR E OFF IBARAKI PREF,A
27/11/2020,03:42:20.30,0.03,37.767,0.1,140.056,0.14,7,0.8,1.1V,SOUTHERN YAMAGATA PREF,A
27/11/2020,03:48:09.08,0.06,40.385,0.19,141.255,0.22,9.1,1,0.7V,EASTERN AOMORI PREF  A,
27/11/2020,03:54:30.35,0.13,41.189,0.61,144.674,0.79,33,,1.3V,SE OFF TOKACHI  A,
27/11/2020,03:57:24.82,0.03,36.589,0.12,139.465,0.13,8.3,0.5,1.1V,TOCHIGI GUNMA BORDER,A
27/11/2020,03:57:37.29,0.42,36.315,1.16,137.529,1.05,0.6,4.7,-0.1v,HIDA MOUNTAINS REGION,a
27/11/2020,03:59:33.46,0.16,35.682,0.37,130.798,0.82,19,2.4,1.7v,OFF W SAN'IN REGION  A,
27/11/2020,04:01:52.37,0.78,44.549,3,149.6,4.64,30,,,SE OFF ETOROFU  K,
27/11/2020,04:02:12.27,0.05,34.188,0.1,135.111,0.18,7,0.4,0.2V,NW WAKAYAMA PREF  k,
27/11/2020,04:03:22.81,0.05,34.339,0.15,136.384,0.14,35.6,0.4,0.8V,SHIMA PENINSULA REGION,A
27/11/2020,04:04:19.97,0.05,32.223,0.13,130.336,0.2,7,0.9,-0.2v,AMAKUSA REGION  A,
27/11/2020,04:09:00.25,0.06,34.578,0.15,135.695,0.18,12.4,0.5,0.3V,OSAKA PREF  A,
27/11/2020,04:10:43.43,0.1,37.273,0.19,139.753,0.25,9.7,1.4,0.3V,WESTERN FUKUSHIMA PREF,A
27/11/2020,04:12:32.62,0.08,32.122,0.34,131.877,0.36,26.2,1.2,0.5V,HYUGANADA REGION  k,
27/11/2020,04:16:07.52,0.08,34.092,0.33,139.399,0.34,10.7,0.7,1.4V,NEAR MIYAKEJIMA ISLAND,k
27/11/2020,04:16:51.47,0.11,34.169,0.31,135.635,0.34,59.8,0.9,1.2V,NE WAKAYAMA PREF  A,
27/11/2020,04:18:15.54,0.11,35.181,0.53,141.33,0.6,22.9,1.5,1.9V,E OFF BOSO PENINSULA,K
27/11/2020,04:19:14.14,0.05,35.764,0.11,136.865,0.15,6.5,0.8,-0.1v,FUKUI GIFU BORDER REGI,ON  A
27/11/2020,04:20:51.03,0.17,31.871,0.39,131.672,1.02,41.9,1.6,1.5V,HYUGANADA REGION  A,
27/11/2020,04:20:58.44,0.08,35.591,0.25,135.048,0.3,8.5,1.1,0.1v,NORTHERN KYOTO PREF  A,
27/11/2020,04:22:10.05,0.09,34.741,0.11,135.767,0.22,13.2,0.8,0.0V,KYOTO OSAKA BORDER REG,k
27/11/2020,04:23:26.51,0.06,35.125,0.18,138.183,0.22,13.8,0.8,1.3V,CENTRAL SHIZUOKA PREF,A
27/11/2020,04:24:41.18,0.05,35.471,0.27,141.053,0.34,15.8,2.1,2.3V,NEAR CHOSHI CITY  K,
27/11/2020,04:26:05.64,0.11,36.639,0.59,141.69,0.47,23.1,1.4,1.7V,E OFF IBARAKI PREF  A,
27/11/2020,04:27:02.43,0.05,35.303,0.19,136.462,0.21,6.8,0.6,0.1V,SHIGA GIFU BORDER REGI,ON  A
27/11/2020,04:30:18.08,0.08,40.81,0.48,144.77,0.56,37,,1.5V,FAR E OFF NORTH HONSHU,A
27/11/2020,04:31:37.51,0.13,35.667,0.47,140.765,0.51,45.6,1.1,3.4V,NEAR CHOSHI CITY  K,
27/11/2020,04:33:12.87,0.26,29.742,0.87,131.41,1.35,52.5,2.8,2.0V,NEAR AMAMI-OSHIMA ISLA,ND  k
27/11/2020,04:35:46.65,0.08,33.721,0.2,134.273,0.21,10.2,0.8,0.0v,TOKUSHIMA PREF  A,
27/11/2020,04:41:09.67,0.11,32.424,0.33,131.956,0.56,32.7,1.1,0.6V,HYUGANADA REGION  A,
27/11/2020,04:42:30.88,0.1,39.054,0.43,142.343,0.32,32.1,1.3,0.7V,E OFF IWATE PREF  k,
27/11/2020,04:45:04.40,0.1,35.261,0.27,136.501,0.33,7.1,1.4,-0.2v,SHIGA GIFU BORDER REGI,ON  A
27/11/2020,04:46:44.73,0.16,35.651,0.51,140.749,0.47,43.1,1.4,1.0V,NEAR CHOSHI CITY  k,
27/11/2020,04:57:24.44,0.12,37.401,0.31,141.914,0.42,36.3,1.3,1.6V,E OFF FUKUSHIMA PREF,A
27/11/2020,05:00:12.76,0.07,36.337,0.28,141.413,0.39,24.6,1.7,1.7V,FAR E OFF IBARAKI PREF,A
27/11/2020,05:00:39.89,0.08,38.372,0.23,142.326,0.31,35,1,1.5V,E OFF MIYAGI PREF  A,
27/11/2020,05:01:44.46,0.07,35.464,0.32,140.906,0.52,15.3,2.7,1.1v,NEAR CHOSHI CITY  A,
27/11/2020,05:04:40.23,0.12,36.841,0.43,142.061,0.6,19.3,3.5,1.3v,E OFF FUKUSHIMA PREF,A
27/11/2020,05:05:07.02,0.04,37.03,0.1,140.592,0.2,9.3,0.6,0.5V,MID FUKUSHIMA PREF  A,
27/11/2020,05:05:53.41,0.03,34.09,0.12,135.189,0.17,4.7,0.6,1.2V,NW WAKAYAMA PREF  A,
27/11/2020,05:09:51.14,0.05,34.023,0.11,134.491,0.19,7.8,0.5,0.0v,TOKUSHIMA PREF  A,
27/11/2020,05:11:39.40,0.08,32.876,0.12,130.878,0.21,9.7,0.8,-0.1v,NW KUMAMOTO PREF  a,
27/11/2020,05:12:20.02,0.05,32.257,0.18,130.531,0.19,3.5,1.1,0.4V,SOUTHERN KUMAMOTO PREF,A
27/11/2020,05:14:51.22,0.12,40.992,0.39,141.422,0.94,9.7,1.4,0.3v,SHIMOKITA PENINSULA RE,G  A
27/11/2020,05:17:49.39,0.11,36.605,0.38,137.531,0.31,17.8,1.1,0.5v,TOYAMA PREF  K,
27/11/2020,05:18:53.11,0.05,34.134,0.23,140.68,0.21,19.8,0.8,1.3v,FAR S OFF BOSO PENINSU,LA  A
27/11/2020,05:22:08.90,0.09,37.309,0.27,141.935,0.23,31.5,0.9,1.4v,E OFF FUKUSHIMA PREF,A
27/11/2020,05:23:34.18,0.18,36.727,0.62,141.762,0.38,3.4,1.8,1.4V,E OFF FUKUSHIMA PREF,A
27/11/2020,05:38:24.17,0.21,39.831,0.48,143.262,0.51,7.4,2.7,,FAR E OFF SANRIKU  k,
27/11/2020,05:45:39.16,0.05,32.175,0.19,130.333,0.25,3.4,0.8,-0.4v,AMAKUSA REGION  A,
27/11/2020,05:48:18.03,0.09,36.529,0.13,139.381,0.31,4.9,1.6,0.0V,TOCHIGI GUNMA BORDER,A
27/11/2020,05:54:30.73,0.08,39.76,0.2,141.832,0.37,58.6,0.7,4.0D  3,.9V  NORTHERN IWATE PREF  K,
27/11/2020,05:56:21.83,0.12,38.039,0.29,142.16,0.45,35.5,1,2.6v,SE OFF MIYAGI PREF  K,
27/11/2020,06:12:24.39,0.07,36.627,0.2,139.486,0.2,8.9,0.5,0.3V,TOCHIGI GUNMA BORDER,A
27/11/2020,06:24:24.24,0.07,32.193,0.15,130.328,0.24,10.1,0.8,-0.1v,AMAKUSA REGION  A,
27/11/2020,06:26:31.08,0.14,36.891,0.57,138.215,0.72,3,3.6,0.3v,SW NIIGATA PREF  A,
27/11/2020,06:28:25.29,0.65,36.932,1.66,138.214,0.9,11.7,4.1,,SW NIIGATA PREF  s,
27/11/2020,06:28:32.10,0.08,36.888,0.3,138.228,0.37,0,,0.2V,SW NIIGATA PREF  k,
27/11/2020,06:38:36.76,0.05,36.832,0.12,140.485,0.19,10.8,0.7,0.4V,MID FUKUSHIMA PREF  A,
27/11/2020,06:43:30.30,0.11,37.431,0.19,141.91,0.28,34.4,1.1,1.2v,E OFF FUKUSHIMA PREF,A
27/11/2020,06:45:42.43,0.09,39.505,0.2,141.405,0.32,13.5,1.2,0.8V,SOUTHERN IWATE PREF  A,
27/11/2020,06:45:45.19,0.19,38.587,0.65,142.193,0.68,21.8,4.2,1.6v,E OFF MIYAGI PREF  A,
27/11/2020,06:51:34.97,0.05,39.588,0.15,140.366,0.21,7.4,1,0.8V,SOUTHERN AKITA PREF  A,
27/11/2020,06:53:17.92,0.15,34.182,0.44,135.613,0.53,56.4,1.2,0.2V,NE WAKAYAMA PREF  A,
27/11/2020,06:59:22.44,0.05,32.193,0.12,130.321,0.16,9.2,0.6,-0.1V,AMAKUSA REGION  A,
27/11/2020,06:59:26.31,0.06,36.342,0.13,137.627,0.12,3,1.2,0.9V,HIDA MOUNTAINS REGION,A
27/11/2020,07:00:49.19,0.14,33.884,0.49,139.334,0.41,14.9,1.6,1.6V,NEAR MIYAKEJIMA ISLAND,k
27/11/2020,07:01:29.54,0.06,32.923,0.22,130.372,0.22,10.4,1.3,0.7V,NORTHERN ARIAKEKAI REG,A
27/11/2020,07:01:50.87,0.06,37.388,0.23,141.613,0.28,8.2,0.9,1.2V,E OFF FUKUSHIMA PREF,k
27/11/2020,07:04:27.17,0.08,40.032,0.23,142.555,0.28,5,0.8,1.4V,NE OFF IWATE PREF  A,
27/11/2020,07:05:03.37,0.16,34.034,0.22,135.241,0.6,5.8,1.8,-0.5v,NW WAKAYAMA PREF  k,
27/11/2020,07:07:47.85,0.18,36.3,0.61,138.05,0.85,3,2.2,-0.9v,CENTRAL NAGANO PREF  a,
27/11/2020,07:10:46.60,0.11,36.624,0.24,139.481,0.23,8.9,0.8,0.0v,TOCHIGI GUNMA BORDER,a
27/11/2020,07:14:19.61,0.24,32.216,0.54,130.355,0.96,11.7,2.6,-0.1v,SOUTHERN KUMAMOTO PREF,A
27/11/2020,07:14:26.17,0.05,36.679,0.11,140.581,0.22,10.5,0.5,0.9V,NORTHERN IBARAKI PREF,A
27/11/2020,07:14:29.27,0.2,34.049,0.49,135.341,0.81,1.5,4.3,-0.4v,NW WAKAYAMA PREF  a,
27/11/2020,07:22:33.15,0.15,41.656,0.33,143.143,0.61,22.6,2.7,1.1V,E OFF AOMORI PREF  A,
27/11/2020,07:25:43.87,0.16,38.328,0.25,142.606,0.64,26.5,1.8,0.9v,E OFF MIYAGI PREF  k,
27/11/2020,07:26:19.04,0.16,42.922,0.44,145.129,0.6,84.7,1.3,1.9V,OFF NEMURO PENINSULA,K
27/11/2020,07:29:27.86,0.07,36.05,0.21,139.903,0.23,44,0.7,2.4V,SW IBARAKI PREF  K,
27/11/2020,07:31:41.76,0.13,33.01,0.33,132.203,0.25,38.7,1.5,0.2v,BUNGO CHANNEL  A,
27/11/2020,07:31:51.30,0.38,33.537,0.53,132.476,0.64,31.3,2.1,-0.3v,SW EHIME PREF  a,
27/11/2020,07:48:00.53,0.12,34.041,0.35,135.149,0.5,6,1.2,0.4v,NW WAKAYAMA PREF  A,
27/11/2020,07:51:01.54,0.11,34.24,0.33,140.414,0.29,65.2,0.9,1.9V,FAR S OFF BOSO PENINSU,LA  A
27/11/2020,07:52:02.46,0.15,32.339,0.41,129.816,0.7,8.3,4.9,0.1v,W OFF AMAKUSA ISLAND,A
27/11/2020,07:55:32.12,0.19,37.455,0.36,142.524,0.38,8.7,2.7,1.7v,SE OFF MIYAGI PREF  A,
27/11/2020,07:57:12.78,0.14,36.653,0.81,141.716,0.58,21.1,1.8,1.5V,E OFF IBARAKI PREF  A,
27/11/2020,07:57:30.71,0.07,38.363,0.17,142.183,0.23,36.2,0.8,2.7V,E OFF MIYAGI PREF  K,
27/11/2020,08:02:16.76,0.16,27.184,0.68,127.707,0.8,81.1,1.1,,NEAR OKINAWAJIMA ISLAN,D  k
27/11/2020,08:02:26.65,0.1,36.696,0.15,140.57,0.34,9.1,0.8,0.5v,NORTHERN IBARAKI PREF,A
27/11/2020,08:05:30.64,0.14,42.022,0.85,142.563,0.64,62.4,1.1,0.8v,S OFF URAKAWA  k,
27/11/2020,08:09:52.75,0.06,32.482,0.18,130.54,0.18,12.1,1.1,0.5V,AMAKUSA REGION  A,
27/11/2020,08:11:18.26,0.2,42.664,0.52,139.326,0.76,13,3.3,2.1V,SW OFF HOKKAIDO  K,
27/11/2020,08:12:19.76,0.26,31.907,1.08,131.53,1.97,48,,0.5v,HYUGANADA REGION  A,
27/11/2020,08:13:04.94,0.21,43.545,1.04,145.61,0.83,78.8,1.5,1.3V,NEMURO REGION  A,
27/11/2020,08:15:33.40,0.05,33.842,0.36,134.966,0.13,11.9,1.5,0.7V,S PART OF KII CHANNEL,A
27/11/2020,08:16:01.39,0.29,36.823,0.56,138.219,0.72,13.6,2.9,0.3V,NORTHERN NAGANO PREF,A
27/11/2020,08:27:16.61,0.39,34.034,0.43,133.924,0.42,34.1,1.9,0.2v,TOKUSHIMA PREF  a,
27/11/2020,08:30:00.93,0.07,37.455,0.22,142.527,0.27,11.7,1.7,2.7V,SE OFF MIYAGI PREF  K,
27/11/2020,08:32:47.78,0.36,44.827,0.99,142.103,0.98,23.2,2.6,0.8v,SOYA REGION  A,
27/11/2020,08:37:31.05,0.07,35,0.18,139.031,0.2,3.8,1.3,0.2V,CENTRAL IZU PENINSULA,k
27/11/2020,08:40:32.21,0.03,32.545,0.14,130.571,0.15,5.8,1.1,1.5V,SOUTHERN KUMAMOTO PREF,A
27/11/2020,08:42:55.17,0.04,35.272,0.1,137.783,0.15,15.8,0.5,1.1V,SOUTHERN NAGANO PREF,A
27/11/2020,08:43:21.16,0.12,35.784,0.33,141.709,0.43,8.2,1.6,1.9V,FAR E OFF IBARAKI PREF,A
27/11/2020,08:50:17.74,0.13,38.188,0.52,141.748,0.62,53.4,1.1,0.5v,E OFF MIYAGI PREF  A,
27/11/2020,09:00:06.57,0.41,42.54,1.54,143.038,2.51,97.5,3,0.7v,HIDAKA MOUNTAINS REGIO,N  A
27/11/2020,09:00:26.33,0.36,32.348,0.74,129.826,0.98,15.7,4.3,0.2v,W OFF AMAKUSA ISLAND,A
27/11/2020,09:04:53.89,0.06,36.551,0.17,139.41,0.23,5.9,1.1,0.7V,TOCHIGI GUNMA BORDER,A
27/11/2020,09:08:49.31,0.09,33.883,0.23,135.608,0.22,26,0.9,1.1V,SOUTHERN WAKAYAMA PREF,A
27/11/2020,09:09:00.46,0.1,37.313,0.3,141.176,0.31,77.3,0.8,0.8V,E OFF FUKUSHIMA PREF,k
27/11/2020,09:10:20.05,0.13,26.127,0.44,127.466,0.32,10,,1.6v,NEAR OKINAWAJIMA ISLAN,D  k
