#NAME?,n Time------,#NAME?,---Lat--,#NAME?,r---Long-,#NAME?,---Dep--,DepEr,r-Mag----,-----Region----Flag--------------------
18/01/2020,18:30:25.59,0.05,32.778,0.1,130.839,0.16,14,0.8,0.3v,NW KUMAMOTO PREF  A
18/01/2020,18:30:39.89,0.1,24.464,0.33,121.873,0.52,27,,3.0V,TAIWAN REGION  K
18/01/2020,18:32:58.63,0.12,38.321,0.42,142.036,0.7,31.6,1.5,1.2v,E OFF MIYAGI PREF  A
18/01/2020,18:34:56.67,0.3,24.869,0.95,124.101,0.59,0,,1.4v,NW OFF ISHIGAKIJIMA IS  A
18/01/2020,18:36:30.64,0.22,32.344,0.56,131.903,0.98,21.9,2.2,1.0V,HYUGANADA REGION  A
18/01/2020,18:38:42.62,0.12,36.211,0.32,139.78,0.35,56.5,1.1,1.9V,SW IBARAKI PREF  K
18/01/2020,18:39:50.80,0.13,37.96,0.49,142.413,0.71,44.7,1.9,2.4V,SE OFF MIYAGI PREF  K
18/01/2020,18:43:51.37,0.05,36.283,0.09,137.057,0.11,2,0.7,1.1V,TOYAMA GIFU BORDER REG  A
18/01/2020,18:46:09.54,0.04,36.094,0.12,139.273,0.14,16.7,0.5,0.6V,WESTERN SAITAMA PREF  A
18/01/2020,18:49:25.60,0.33,44.44,2.11,145.23,2.09,170,,1.2v,NE OFF HOKKAIDO  s
18/01/2020,18:52:05.36,,,,,,,,,FAR FIELD  N
18/01/2020,18:52:32.43,0.55,43.325,2.66,147.689,2.63,0,,2.9V,E OFF HOKKAIDO  k
18/01/2020,18:53:14.31,0.39,34.575,1.33,140.307,2.49,52,,1.2v,SE OFF BOSO PENINSULA  A
18/01/2020,18:58:10.36,0.02,35.053,0.1,132.818,0.1,6.6,0.9,0.6V,SHIMANE HIROSHIMA BORDER  A
18/01/2020,19:04:30.21,0.09,39.331,0.23,142.166,0.56,52.5,0.7,0.8V,E OFF IWATE PREF  A
18/01/2020,19:04:45.65,0.16,35.391,0.54,133.839,0.43,9.5,1.1,-0.1v,EASTERN TOTTORI PREF  a
18/01/2020,19:11:35.83,0.1,38.756,0.23,141.719,0.58,54.1,0.8,1.1V,KINKAZAN REGION  A
18/01/2020,19:12:11.42,0.15,41.386,0.33,139.176,0.79,18.1,0.9,1.3V,W OFF AOMORI PREF  A
18/01/2020,19:18:57.05,0.06,34.811,0.14,132.78,0.16,10.2,1.1,0.2v,SHIMANE HIROSHIMA BORDER  A
18/01/2020,19:19:34.72,0.25,42.681,0.7,139.394,1.01,14.9,3.5,1.0v,SW OFF HOKKAIDO  A
18/01/2020,19:24:03.34,0.03,34.959,0.11,136.055,0.12,9.3,0.8,0.6V,SE SHIGA PREF  A
18/01/2020,19:25:37.62,0.05,35.047,0.12,132.866,0.12,9.6,0.9,0.3v,SHIMANE HIROSHIMA BORDER  A
18/01/2020,19:27:10.26,0.16,35.87,0.39,140.492,0.54,38.6,1.5,1.4V,NORTHERN CHIBA PREF  A
18/01/2020,19:27:41.20,0.18,44.784,1.08,146.059,2.61,206,,,NEAR KUNASHIRI ISLAND  s
18/01/2020,19:28:36.76,0.09,34.023,0.17,135.196,0.34,7.1,0.8,0.0v,NW WAKAYAMA PREF  A
18/01/2020,19:28:41.56,0.03,34.761,0.08,134.435,0.09,19.1,0.3,1.2V,SW HYOGO PREF  A
